"symbol","name","sector","exchange","emp_count","start_adj_close","end_adj_close","delta_adj_close","start_vol","end_vol","delta_vol","div_count","div_action","split_count","split_action","market_cap","cap_size"
"SANM","SANMINA CORP","Information Technology","NASDAQ",34000,84.1800003051758,78.3099975585938,-5.87000274658203,465000,771000,306000,0,0,0,0,3656092928,"Medium Cap"
"EDIT","EDITAS MEDICINE INC","Health Care","NASDAQ",265,1.21000003814697,1.30999994277954,0.0999999046325684,2168300,2906200,737900,0,0,0,0,85465592,"Small Cap"
"ARRY","ARRAY TECHNOLOGIES INC","Industrials","NASDAQ",961,6.82000017166138,5.69000005722046,-1.13000011444092,6972200,6299000,-673200,0,0,0,0,667341440,"Small Cap"
"TNET","TRINET GROUP INCINARY","Industrials","New York Stock Exchange Inc.",359837,93.4047164916992,76.4238510131836,-16.9808654785156,298000,1877000,1579000,0,0,0,0,3651670016,"Medium Cap"
"DNOW","DNOW INC","Industrials","New York Stock Exchange Inc.",2550,13.960000038147,16.0300006866455,2.07000064849854,675600,5758200,5082600,0,0,0,0,1608403968,"Small Cap"
"INCY","INCYTE CORP","Health Care","NASDAQ",2524,73.4700012207031,61.9199981689453,-11.5500030517578,1867900,4332400,2464500,0,0,0,0,11723683840,"Large Cap"
"FUN","SIX FLAGS ENTERTAINMENT CORP","Consumer Discretionary","New York Stock Exchange Inc.",3350,45.3699989318848,37.439998626709,-7.93000030517578,1506900,2018000,511100,0,0,0,0,3159521536,"Medium Cap"
"PYPL","PAYPAL HOLDINGS INC","Financials","NASDAQ",27200,89.7699966430664,70.1900024414062,-19.5799942016602,12629300,14603800,1974500,0,0,0,0,57742053376,"Large Cap"
"FOLD","AMICUS THERAPEUTICS INC","Health Care","NASDAQ",500,9.51000022888184,9.01000022888184,-0.5,1774500,2929200,1154700,0,0,0,0,2304300032,"Medium Cap"
"V","VISA INC CLASS A","Financials","New York Stock Exchange Inc.",28800,323.086364746094,335.660003662109,12.5736389160156,5653000,17279700,11626700,1,1,0,0,604030894080,"Large Cap"
"MRCY","MERCURY SYSTEMS INC","Industrials","NASDAQ",2364,43.5800018310547,45.2900009155273,1.70999908447266,506700,1019100,512400,0,0,0,0,2603293952,"Medium Cap"
"ARIS","ARIS WATER SOLUTIONS INC CLASS A","Energy","New York Stock Exchange Inc.",251,28.8438529968262,31.8999996185303,3.0561466217041,1374300,1194900,-179400,1,1,0,0,1482095360,"Small Cap"
"COLD","AMERICOLD REALTY INC TRUST","Real Estate","New York Stock Exchange Inc.",14559,22.0555839538574,21.0661010742188,-0.989482879638672,1870000,2299700,429700,0,0,0,0,5518262784,"Medium Cap"
"BHVN","BIOHAVEN LTD","Health Care","New York Stock Exchange Inc.",239,39.0299987792969,28.5400009155273,-10.4899978637695,764000,1093300,329300,0,0,0,0,1897388416,"Small Cap"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","New York Stock Exchange Inc.",2500,173.800354003906,162.100006103516,-11.7003479003906,1078300,3094000,2015700,1,1,0,0,55055888384,"Large Cap"
"DH","DEFINITIVE HEALTHCARE CORP CLASS A","Health Care","NASDAQ",950,4.40999984741211,2.80999994277954,-1.59999990463257,617000,1804100,1187100,0,0,0,0,283406624,"Small Cap"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","NASDAQ",20000,422.160003662109,350.570007324219,-71.5899963378906,1121000,1730000,609000,0,0,0,0,16282421248,"Large Cap"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","New York Stock Exchange Inc.",14900,480.410003662109,501.820007324219,21.4100036621094,377400,653600,276200,0,0,0,0,20447934464,"Large Cap"
"SMTC","SEMTECH CORP","Information Technology","NASDAQ",1917,77.1500015258789,39.6199989318848,-37.5300025939941,1643400,3375300,1731900,0,0,0,0,2422963200,"Medium Cap"
"M","MACYS INC","Consumer Discretionary","New York Stock Exchange Inc.",85581,14.1881265640259,13.2399997711182,-0.948126792907715,9139200,5727700,-3411500,1,1,0,0,3170172416,"Medium Cap"
"SDRL","SEADRILL LTD","Energy","New York Stock Exchange Inc.",2505,37.9000015258789,25.1700000762939,-12.730001449585,507300,1733700,1226400,0,0,0,0,1196016128,"Small Cap"
"IIIV","I3 VERTICALS INC CLASS A","Information Technology","NASDAQ",1663,24.1800003051758,24.7700004577637,0.590000152587891,112500,567100,454600,0,0,0,0,794280768,"Small Cap"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","New York Stock Exchange Inc.",1188,66.3333511352539,57.1327171325684,-9.20063400268555,632000,1412700,780700,2,1,0,0,3823304192,"Medium Cap"
"GLOB","GLOBANT SA","Information Technology","New York Stock Exchange Inc.",29112,210.570007324219,130.679992675781,-79.8900146484375,690800,1121100,430300,0,0,0,0,4429599744,"Medium Cap"
"UCB","UNITED COMMUNITY BANKS INC","Financials","New York Stock Exchange Inc.",3010,32.9639778137207,27.9799995422363,-4.98397827148438,1144200,1896600,752400,1,1,0,0,2896776960,"Medium Cap"
"IONQ","IONQ INC","Information Technology","New York Stock Exchange Inc.",324,45.310001373291,22.2600002288818,-23.0500011444092,35231900,21965900,-13266000,0,0,0,0,4940059136,"Medium Cap"
"NTAP","NETAPP INC","Information Technology","NASDAQ",11800,123.669998168945,92.25,-31.4199981689453,1301600,5417000,4115400,0,0,0,0,15705288704,"Large Cap"
"ACN","ACCENTURE PLC CLASS A","Information Technology","New York Stock Exchange Inc.",774000,356.420013427734,305.320007324219,-51.1000061035156,3098600,11735300,8636700,0,0,0,0,178580389888,"Large Cap"
"DOC","HEALTHPEAK PROPERTIES INC","Real Estate","New York Stock Exchange Inc.",193,20.7972755432129,20.0300006866455,-0.767274856567383,3131200,7429700,4298500,1,1,0,0,12875123712,"Large Cap"
"HRL","HORMEL FOODS CORP","Consumer Staples","New York Stock Exchange Inc.",20000,30.8600006103516,29.9799995422363,-0.880001068115234,3362300,9492800,6130500,0,0,0,0,16904326144,"Large Cap"
