symbol,name,sector,exchange,emp_count,start_adj_close,end_adj_close,delta_adj_close,start_vol,end_vol,delta_vol,div_count,div_action,split_count,split_action,market_cap,cap_size
AAPL,APPLE INC,Information Technology,NASDAQ,150000,222.39547729492188,218.27000427246094,-4.1254730224609375,98070400.0,94127800.0,-3942600.0,1,1,0,0,2829863354368.0,Large Cap
MSFT,MICROSOFT CORP,Information Technology,NASDAQ,228000,427.64251708984375,391.260009765625,-36.38250732421875,26085700.0,39675900.0,13590200.0,1,1,0,0,2675043205120.0,Large Cap
NVDA,NVIDIA CORP,Information Technology,NASDAQ,29600,140.81704711914062,117.69999694824219,-23.117050170898438,197749000.0,266498500.0,68749500.0,1,1,0,0,2301163732992.0,Large Cap
AMZN,AMAZON COM INC,Consumer Discretionary,NASDAQ,1551000,230.7100067138672,196.2100067138672,-34.5,39951500.0,60056900.0,20105400.0,0,0,0,0,1812206583808.0,Large Cap
META,META PLATFORMS INC CLASS A,Communication,NASDAQ,72404,615.9120483398438,596.25,-19.66204833984375,11674000.0,25015900.0,13341900.0,1,1,0,0,1278814191616.0,Large Cap
AVGO,BROADCOM INC,Information Technology,NASDAQ,20000,239.58502197265625,191.66000366210938,-47.925018310546875,30903200.0,43086500.0,12183300.0,1,1,0,0,687848226816.0,Large Cap
TSLA,TESLA INC,Consumer Discretionary,NASDAQ,140473,424.07000732421875,248.7100067138672,-175.36000061035156,87320900.0,132728700.0,45407800.0,0,0,0,0,770131361792.0,Large Cap
GOOG,ALPHABET INC CLASS C,Communication,NASDAQ,181269,199.40283203125,166.25,-33.15283203125,19005200.0,29882100.0,10876900.0,1,1,0,0,1786634698752.0,Large Cap
JPM,JPMORGAN CHASE & CO,Financials,New York Stock Exchange Inc.,316043,263.0299987792969,241.6300048828125,-21.399993896484375,13712100.0,19326900.0,5614800.0,0,0,0,0,587966054400.0,Large Cap
LLY,ELI LILLY,Health Care,New York Stock Exchange Inc.,43000,741.07275390625,837.5700073242188,96.49725341796875,5122800.0,5963800.0,841000.0,1,1,0,0,662904504320.0,Large Cap
V,VISA INC CLASS A,Financials,New York Stock Exchange Inc.,28800,323.08636474609375,335.6600036621094,12.573638916015625,5653000.0,17279700.0,11626700.0,1,1,0,0,604030894080.0,Large Cap
XOM,EXXON MOBIL CORP,Energy,New York Stock Exchange Inc.,62000,110.48177337646484,115.5,5.018226623535156,20416300.0,41102800.0,20686500.0,1,1,0,0,452745854976.0,Large Cap
