,exchange,symbol,shortname,longname,sector,industry,currentprice,marketcap,ebitda,revenueGrowth
0,NYQ,MMM,3M Company,3M Company,Industrials,Conglomerates,150.36,81630437376.0,5470000128.0,0.001
1,NYQ,AOS,A.O. Smith Corporation,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,66.5,9544678400.0,777500032.0,-0.077
2,NYQ,ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,126.34,219113979904.0,10714000384.0,0.072
3,NYQ,ABBV,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,210.01,370741149696.0,26717999104.0,0.056
4,NYQ,ACN,Accenture plc,Accenture plc,Technology,Information Technology Services,305.32,191272599552.0,11472501760.0,0.054
5,NMS,ADBE,Adobe Inc.,Adobe Inc.,Technology,Software - Application,387.26,168418213888.0,8664999936.0,0.103
6,NMS,AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Technology,Semiconductors,106.44,172483887104.0,5150000128.0,0.242
7,NYQ,AES,The AES Corporation,The AES Corporation,Utilities,Utilities - Diversified,13.05,9290307584.0,3280000000.0,-0.002
8,NYQ,AFL,AFLAC Incorporated,Aflac Incorporated,Financial Services,Insurance - Life,108.24,59079012352.0,6654000128.0,0.43
9,NYQ,A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,120.75,34426187776.0,1802000000.0,0.014
10,NYQ,APD,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,291.65,64885125120.0,4330200064.0,-0.022
11,NMS,ABNB,"Airbnb, Inc.","Airbnb, Inc.",Consumer Cyclical,Travel Services,128.8,80028598272.0,2584000000.0,0.118
12,NMS,AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",Technology,Software - Infrastructure,81.04,12181771264.0,1116018048.0,0.025
13,NYQ,ALB,Albemarle Corporation,Albemarle Corporation,Basic Materials,Specialty Chemicals,77.56,9118961664.0,-9112000.0,-0.477
14,NYQ,ARE,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,96.27,16663566336.0,1960150016.0,0.05
15,NMS,ALGN,"Align Technology, Inc.","Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,168.61,12409291776.0,820598016.0,0.04
16,NYQ,ALLE,Allegion plc,Allegion plc,Industrials,Security & Protection Services,127.06,10964058112.0,896800000.0,0.054
17,NMS,LNT,Alliant Energy Corporation,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,63.05,16184430592.0,1702000000.0,0.016
18,NYQ,ALL,Allstate Corporation (The),The Allstate Corporation,Financial Services,Insurance - Property & Casualty,206.47,54719918080.0,6776999936.0,0.113
19,NMS,GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,163.99,2011468529664.0,129496997888.0,0.118
20,NMS,GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,166.25,2011458830336.0,129496997888.0,0.118
21,NYQ,MO,"Altria Group, Inc.","Altria Group, Inc.",Consumer Defensive,Tobacco,57.6,97382014976.0,12387000320.0,0.016
22,NMS,AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,196.21,2079374704640.0,120467996672.0,0.105
23,NYQ,AMCR,Amcor plc,Amcor plc,Consumer Cyclical,Packaging & Containers,9.44,13644009472.0,1907000064.0,-0.003
24,NYQ,AEE,Ameren Corporation,Ameren Corporation,Utilities,Utilities - Regulated Electric,98.91,26696400896.0,3200999936.0,0.205
25,NMS,AEP,American Electric Power Company,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,105.11,56096366592.0,7823600128.0,0.026
26,NYQ,AXP,American Express Company,American Express Company,Financial Services,Credit Services,270.51,189657284608.0,,0.106
27,NYQ,AIG,"American International Group, I","American International Group, Inc.",Financial Services,Insurance - Diversified,83.18,49353437184.0,7824999936.0,0.088
28,NYQ,AMT,American Tower Corporation (REI,American Tower Corporation,Real Estate,REIT - Specialty,216.23,101078220800.0,6637400064.0,-0.086
29,NYQ,AWK,"American Water Works Company, I","American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,141.13,27512872960.0,2534000128.0,0.164
